0.000 7.475 5.535 3.120 3.850 4.345 3.415 8.135 6.500 5.555 5.065 3.100 3.610 2.875 7.145 6.355 4.515 4.645 3.445 2.700 3.470 4.445 5.010 4.770 4.280 3.910 2.880 2.345 5.000 3.320 3.380 4.030 2.915 1.930 2.445 3.505 2.430 3.455 2.500 3.040 3.845 2.000 3.190 2.835 2.650 3.000 2.665 1.875 2.525
7.475 0.000 7.525 5.565 5.105 4.020 2.665 5.990 7.700 8.940 5.265 6.150 4.200 4.460 4.585 5.790 6.265 5.870 4.500 4.600 4.755 4.075 5.735 3.430 5.440 4.235 3.040 4.485 3.030 3.000 3.150 2.915 3.850 3.055 2.445 2.240 2.450 3.075 3.300 2.405 3.250 2.860 2.600 3.035 2.750 2.165 2.340 1.915 2.915
5.535 7.525 0.000 8.285 6.490 4.430 5.120 4.000 6.480 6.905 6.800 6.515 5.165 4.595 3.270 4.660 5.850 5.145 5.640 5.415 4.340 2.395 3.200 4.250 4.085 4.180 3.775 3.440 2.755 4.430 3.325 3.220 3.800 3.405 3.445 2.875 2.025 3.155 2.440 3.365 2.480 2.795 2.025 2.245 1.960 2.825 3.095 2.205 4.065
3.120 5.565 8.285 0.000 7.280 7.445 5.690 2.930 4.290 5.880 6.865 8.125 6.190 6.340 3.165 4.130 4.760 5.855 5.235 4.800 5.835 2.255 3.415 3.820 4.105 4.440 4.880 4.270 2.615 2.915 3.165 3.375 3.640 3.835 3.675 2.210 2.500 3.085 2.790 3.315 2.325 3.565 1.715 2.530 2.630 2.480 2.545 2.380 2.320
3.850 5.105 6.490 7.280 0.000 8.380 6.940 2.220 3.635 4.845 5.735 8.000 6.910 7.065 2.625 2.800 4.500 4.885 5.555 6.305 4.655 2.185 2.870 2.515 4.065 4.000 4.625 4.960 2.245 2.285 2.665 3.875 4.460 3.720 4.270 2.020 2.185 2.585 2.360 4.270 2.700 3.000 1.565 1.900 2.465 2.160 2.665 2.445 2.980
4.345 4.020 4.430 7.445 8.380 0.000 8.690 2.540 3.000 4.470 6.390 7.250 8.215 7.250 3.050 2.200 2.720 4.415 5.400 6.160 6.490 2.555 2.865 2.940 2.920 4.000 5.525 4.620 1.695 2.425 2.400 2.615 3.595 4.750 3.910 1.535 2.075 2.110 2.610 3.250 3.250 4.015 2.535 2.885 2.070 2.525 2.395 3.765 3.500
3.415 2.665 5.120 5.690 6.940 8.690 0.000 1.935 3.600 3.585 4.675 5.275 6.815 7.815 1.525 2.215 2.620 4.100 4.430 5.965 5.250 1.250 1.850 2.025 3.200 2.355 4.200 5.285 1.625 2.040 2.375 2.960 2.635 3.460 5.100 1.490 2.205 2.335 2.130 3.345 2.800 3.840 2.315 1.535 2.300 2.010 2.515 1.885 2.390
8.135 5.990 4.000 2.930 2.220 2.540 1.935 0.000 7.790 5.230 3.970 3.055 3.510 2.905 8.210 7.325 5.215 4.365 3.170 3.520 2.280 5.800 5.915 4.865 4.880 2.715 3.375 3.305 4.905 5.135 5.940 5.050 4.000 3.225 2.320 4.815 5.485 3.490 4.565 3.645 1.940 2.535 4.140 3.455 4.430 3.815 3.180 5.100 2.565
6.500 7.700 6.480 4.290 3.635 3.000 3.600 7.790 0.000 7.050 5.115 4.620 3.915 3.450 5.750 7.695 6.355 6.500 5.300 3.790 3.795 5.400 6.585 5.155 5.625 4.680 4.525 3.160 3.535 5.600 5.320 4.890 4.670 3.865 3.740 3.195 3.750 4.850 4.375 3.605 3.660 3.380 3.275 4.375 3.880 3.530 3.750 3.300 3.010
5.555 8.940 6.905 5.880 4.845 4.470 3.585 5.230 7.050 0.000 6.885 6.580 4.895 4.200 4.580 6.280 6.865 7.750 6.320 5.055 5.015 4.655 3.650 5.560 5.250 5.775 5.375 4.070 2.750 4.585 4.715 4.010 4.930 3.755 4.915 2.410 3.965 4.545 2.625 3.950 3.200 3.440 2.480 3.050 3.635 3.515 4.030 3.275 3.080
5.065 5.265 6.800 6.865 5.735 6.390 4.675 3.970 5.115 6.885 0.000 7.450 6.500 6.260 3.335 5.200 5.795 7.470 6.835 5.815 6.690 2.875 4.320 6.250 6.375 5.890 6.085 6.280 2.435 3.465 3.880 4.290 4.535 4.930 4.735 1.980 2.525 3.375 4.855 3.840 4.175 3.480 2.100 2.285 3.605 3.730 3.520 2.750 2.730
3.100 6.150 6.515 8.125 8.000 7.250 5.275 3.055 4.620 6.580 7.450 0.000 8.535 6.645 2.645 3.900 4.665 5.555 7.455 6.955 6.415 3.780 2.910 3.885 4.805 6.105 6.235 5.580 2.595 3.280 2.570 4.340 4.715 4.590 4.870 2.065 2.165 3.105 3.505 3.625 3.885 4.125 2.165 1.875 2.715 3.500 4.010 2.650 2.835
3.610 4.200 5.165 6.190 6.910 8.215 6.815 3.510 3.915 4.895 6.500 8.535 0.000 8.105 3.390 3.735 4.915 4.915 6.050 8.000 7.435 1.985 2.180 3.930 3.690 4.580 5.660 5.790 1.635 2.665 3.620 3.180 4.000 4.935 5.250 1.840 1.915 3.145 3.185 3.525 4.505 4.000 1.700 1.865 2.100 2.865 3.700 3.600 2.950
2.875 4.460 4.595 6.340 7.065 7.250 7.815 2.905 3.450 4.200 6.260 6.645 8.105 0.000 3.230 2.935 3.815 3.430 5.440 7.050 7.280 2.525 2.565 2.530 3.585 4.330 4.315 6.965 2.035 3.135 2.855 3.370 3.650 4.875 4.795 1.250 2.355 2.445 3.450 3.230 4.005 4.500 1.460 1.965 1.780 3.375 2.235 2.800 3.710
7.145 4.585 3.270 3.165 2.625 3.050 1.525 8.210 5.750 4.580 3.335 2.645 3.390 3.230 0.000 7.435 5.235 4.350 3.625 2.940 3.120 8.125 7.610 6.415 5.555 3.890 3.255 2.985 6.775 5.335 5.435 5.285 4.435 3.105 3.190 5.670 5.825 5.125 4.325 4.835 3.465 2.795 4.870 6.075 6.665 4.140 4.125 3.225 3.240
